Region,Year,Population,Violent crime3,"Rate per 
100,000","Murder and 
nonnegligent 
manslaughter","Rate per 
100,000","Rape
(revised definition)4","Rate per 
100,000","Rape
(legacy definition)5","Rate per 
100,000",Robbery,"Rate per 
100,000",Aggravated assault,"Rate per 
100,000",Property crime,"Rate per 
100,000",Burglary,"Rate per 
100,000",Larceny-theft,"Rate per 
100,000",Motor vehicle theft,"Rate per 
100,000"
,2016,20612439,88700,430.3,1111,5.4,7598,36.9,5528,26.8,20175,97.9,59816,290.2,553812,2686.8,100325,486.7,410352,1990.8,43135,209.3
     Georgia,2015,10199398,38891,381.3,622,6.1,3257,31.9,2343,23,12545,123,22467,220.3,316013,3098.3,68149,668.2,220715,2164,27149,266.2
,2016,10310371,40990,397.6,681,6.6,3509,34,2528,24.5,12205,118.4,24595,238.5,309770,3004.5,63344,614.4,219625,2130.1,26801,259.9
     Maryland,2015,5994983,28185,470.1,538,9,1717,28.6,1209,20.2,10111,168.7,15819,263.9,142547,2377.8,26432,440.9,102701,1713.1,13414,223.8
,2016,6016447,28400,472,481,8,1756,29.2,1266,21,10289,171,15874,263.8,137445,2284.5,24692,410.4,100919,1677.4,11834,196.7
     North Carolina,2015,10035186,34734,346.1,517,5.2,2591,25.8,1886,18.8,8821,87.9,22805,227.3,275915,2749.5,74760,745,187732,1870.7,13423,133.8
,2016,10146788,37769,372.2,678,6.7,2849,28.1,2086,20.6,9336,92,24906,245.5,277765,2737.5,72082,710.4,190377,1876.2,15306,150.8
     South Carolina,2015,4894834,24448,499.5,407,8.3,2439,49.8,1717,35.1,3950,80.7,17652,360.6,162830,3326.6,34942,713.9,114778,2344.9,13110,267.8
,2016,4961119,24896,501.8,366,7.4,2387,48.1,1711,34.5,4035,81.3,18108,365,160928,3243.8,32976,664.7,114032,2298.5,13920,280.6
     Virginia,2015,8367587,16705,199.6,390,4.7,2499,29.9,1767,21.1,4459,53.3,9357,111.8,157803,1885.9,21542,257.4,128064,1530.5,8197,98
,2016,8411808,18302,217.6,484,5.8,2737,32.5,1965,23.4,4803,57.1,10278,122.2,156412,1859.4,20018,238,126606,1505.1,9788,116.4
     West Virginia,2015,1841053,6397,347.5,85,4.6,710,38.6,493,26.8,783,42.5,4819,261.8,38694,2101.7,9467,514.2,26984,1465.7,2243,121.8
,2016,1831102,6557,358.1,81,4.4,657,35.9,468,25.6,720,39.3,5099,278.5,37487,2047.2,9301,507.9,25677,1402.3,2509,137
East South Central,2015,18862932,81850,433.9,1238,6.6,7640,40.5,5497,29.1,17737,94,55235,292.8,524162,2778.8,126612,671.2,362030,1919.3,35520,188.3
,2016,18940194,86674,457.6,1391,7.3,7548,39.9,5455,28.8,18265,96.4,59470,314,513087,2709,118565,626,353470,1866.2,41052,216.7
     Alabama,2015,4853875,22957,473,348,7.2,2037,42,1449,29.9,4612,95,15960,328.8,144785,2982.9,35265,726.5,99182,2043.4,10338,213
,2016,4863300,25886,532.3,407,8.4,1916,39.4,1385,28.5,4686,96.4,18877,388.2,143362,2947.8,34065,700.5,97574,2006.3,11723,241.1
     Kentucky,2015,4424611,9887,223.5,219,4.9,1644,37.2,1165,26.3,3314,74.9,4710,106.5,97545,2204.6,22526,509.1,67143,1517.5,7876,178
,2016,4436974,10308,232.3,260,5.9,1641,37,1174,26.5,3369,75.9,5038,113.5,97158,2189.7,20834,469.6,66438,1497.4,9886,222.8
     Mississippi,2015,2989390,8190,274,253,8.5,1158,38.7,851,28.5,2312,77.3,4467,149.4,85785,2869.6,25068,838.6,56446,1888.2,4271,142.9
,2016,2988726,8383,280.5,238,8,1277,42.7,905,30.3,2397,80.2,4471,149.6,82732,2768.1,23354,781.4,55054,1842.1,4324,144.7
     Tennessee,2015,6595056,40816,618.9,418,6.3,2801,42.5,2032,30.8,7499,113.7,30098,456.4,196047,2972.6,43753,663.4,139259,2111.6,13035,197.6
,2016,6651194,42097,632.9,486,7.3,2714,40.8,1991,29.9,7813,117.5,31084,467.3,189835,2854.1,40312,606.1,134404,2020.7,15119,227.3
West South Central,2015,38983866,170910,438.4,2238,5.7,18017,46.2,13030,33.4,42620,109.3,108035,277.1,1148388,2945.8,240158,616,814571,2089.5,93659,240.3
,2016,39456071,181653,460.4,2493,6.3,19365,49.1,14240,36.1,44175,112,115620,293,1138043,2884.3,236281,598.8,803057,2035.3,98705,250.2
     Arkansas,2015,2977853,15769,529.5,189,6.3,2008,67.4,1425,47.9,2117,71.1,11455,384.7,97391,3270.5,22851,767.4,68720,2307.7,5820,195.4
,2016,2988248,16461,550.9,216,7.2,2143,71.7,1545,51.7,2120,70.9,11982,401,97673,3268.6,23771,795.5,66747,2233.6,7155,239.4
     Louisiana,2015,4668960,25202,539.8,492,10.5,1733,37.1,1246,26.7,5561,119.1,17416,373,157708,3377.8,35457,759.4,112520,2410,9731,208.4
,2016,4681666,26502,566.1,554,11.8,1816,38.8,1328,28.4,5576,119.1,18556,396.4,154386,3297.7,34667,740.5,109380,2336.3,10339,220.8
     Oklahoma,2015,3907414,16746,428.6,240,6.1,1953,50,1418,36.3,3018,77.2,11535,295.2,114055,2918.9,28783,736.6,74678,1911.2,10594,271.1
,2016,3923561,17648,449.8,245,6.2,2039,52,1509,38.5,3162,80.6,12202,311,117037,2982.9,29103,741.7,75779,1931.4,12155,309.8
     Texas,2015,27429639,113193,412.7,1317,4.8,12323,44.9,8941,32.6,31924,116.4,67629,246.6,779234,2840.8,153067,558,558653,2036.7,67514,246.1
,2016,27862596,121042,434.4,1478,5.3,13367,48,9858,35.4,33317,119.6,72880,261.6,768947,2759.8,148740,533.8,551151,1978.1,69056,247.8
West,2015,75834288,301773,397.9,3194,4.2,31615,41.7,22994,30.3,82557,108.9,184407,243.2,2123048,2799.6,402703,531,1437787,1896,282558,372.6
,2016,76657000,320706,418.4,3449,4.5,33298,43.4,24562,32,86301,112.6,197658,257.8,2120808,2766.6,387049,504.9,1424850,1858.7,308909,403
Mountain,2015,23492558,94784,403.5,917,3.9,12938,55.1,9424,40.1,20236,86.1,60693,258.3,662713,2820.9,125323,533.5,470974,2004.8,66416,282.7
,2016,23855067,102674,430.4,1124,4.7,13126,55,9689,40.6,21739,91.1,66685,279.5,675111,2830.1,122629,514.1,474519,1989.2,77963,326.8
     Arizona,2015,6817565,27968,410.2,306,4.5,3109,45.6,2268,33.3,6360,93.3,18193,266.9,207184,3039,38010,557.5,152388,2235.2,16786,246.2
,2016,6931071,32583,470.1,380,5.5,3290,47.5,2452,35.4,7055,101.8,21858,315.4,206432,2978.4,37736,544.4,150275,2168.1,18421,265.8
     Colorado,2015,5448819,17348,318.4,173,3.2,3328,61.1,2422,44.4,3315,60.8,10532,193.3,144044,2643.6,23490,431.1,104532,1918.4,16022,294
,2016,5540545,18983,342.6,204,3.7,3555,64.2,2619,47.3,3528,63.7,11696,211.1,151850,2740.7,23903,431.4,108336,1955.3,19611,354
     Idaho,2015,1652828,3593,217.4,32,1.9,703,42.5,508,30.7,191,11.6,2667,161.4,28912,1749.2,6124,370.5,20916,1265.5,1872,113.3
,2016,1683140,3876,230.3,49,2.9,719,42.7,529,31.4,213,12.7,2895,172,29357,1744.2,6318,375.4,20962,1245.4,2077,123.4
     Montana,2015,1032073,3647,353.4,38,3.7,572,55.4,405,39.2,210,20.3,2827,273.9,27276,2642.8,3887,376.6,20966,2031.4,2423,234.8
,2016,1042520,3840,368.3,36,3.5,578,55.4,414,39.7,266,25.5,2960,283.9,27976,2683.5,3934,377.4,21299,2043,2743,263.1
     Nevada,2015,2883758,20118,697.6,178,6.2,1688,58.5,1232,42.7,6287,218,11965,414.9,77137,2674.9,22360,775.4,43426,1505.9,11351,393.6
,2016,2940058,19936,678.1,224,7.6,1733,58.9,1292,43.9,6340,215.6,11639,395.9,76047,2586.6,18850,641.1,44017,1497.1,13180,448.3
     New Mexico,2015,2080328,13672,657.2,117,5.6,1663,79.9,1218,58.5,2485,119.5,9407,452.2,77212,3711.5,17084,821.2,51485,2474.9,8643,415.5
,2016,2081015,14619,702.5,139,6.7,1526,73.3,1117,53.7,2737,131.5,10217,491,81931,3937.1,17281,830.4,52907,2542.4,11743,564.3
     Utah,2015,2990632,7138,238.7,57,1.9,1704,57,1247,41.7,1329,44.4,4048,135.4,89797,3002.6,12606,421.5,68464,2289.3,8727,291.8
,2016,3051217,7407,242.8,72,2.4,1520,49.8,1116,36.6,1541,50.5,4274,140.1,90058,2951.5,12836,420.7,67834,2223.2,9388,307.7
     Wyoming,2015,586555,1300,221.6,16,2.7,171,29.2,124,21.1,59,10.1,1054,179.7,11151,1901.1,1762,300.4,8797,1499.8,592,100.9
,2016,585501,1430,244.2,20,3.4,205,35,150,25.6,59,10.1,1146,195.7,11460,1957.3,1771,302.5,8889,1518.2,800,136.6
